"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8529","test 2","firefox","2026-08-02","passed","2026-08-02","","API\storageState.spec.js","",""
"","6910","@API Placed order checking","firefox","2026-08-02","passed","2026-08-02","","API\interceptResponse.spec.js","",""
"","8772","Placed order checking","firefox","2026-08-02","passed","2026-08-02","","API\placedOrder.spec.js","",""
"","13504","Navigation","firefox","2026-08-02","failed","2026-08-02","","UI\MoreValidation.spec.js","",""
"","9740","order placing","firefox","2026-08-02","passed","2026-08-02","","API\login.spec.js","",""
"","1680","blinking","firefox","2026-08-02","passed","2026-08-02","","UI\LoginPractice.spec.js","",""
"","22005","@API ECommerce","firefox","2026-08-02","passed","2026-08-02","","API\storageState.spec.js","",""
"","6738","@API Placed order checking","firefox","2026-08-02","passed","2026-08-02","","API\interceptRequest.spec.js","",""
"","10219","UI Ddn Rdo","firefox","2026-08-02","passed","2026-08-02","","UI\ParallelAndSequence.spec.js","",""
"","18279","Client Login","firefox","2026-08-02","passed","2026-08-02","","UI\ECommerecePOMTestBase.spec.js","",""
"","8892","Login practice","firefox","2026-08-02","passed","2026-08-02","","UI\LoginPractice.spec.js","",""
"","10400","@Webst Client App login","firefox","2026-08-02","passed","2026-08-02","","UI\example.spec.js","",""
"","5189","@Child windows hadl","firefox","2026-08-02","passed","2026-08-02","","UI\ParallelAndSequence.spec.js","",""
"","2312","@Child windows hadl","firefox","2026-08-02","passed","2026-08-02","","UI\LoginPractice.spec.js","",""
"","5748","Registration Page","firefox","2026-08-02","passed","2026-08-02","","UI\RSRegistration.spec.js","",""
"","19048","Login for ZARA COAT 3","firefox","2026-08-02","passed","2026-08-02","","UI\ECommerecePOM.spec.js","",""
"","7589","screenShot","firefox","2026-08-02","failed","2026-08-02","","UI\screenshot.spec.js","",""
"","7093","E2E eCommerce with Special Locators","firefox","2026-08-02","failed","2026-08-02","","UI\EComSplLocators.spec.js","",""
"","10443","upload and download validation","firefox","2026-08-02","passed","2026-08-02","","Excel\ExcelReusable.spec.js","",""
"","5969","childWindow and split","firefox","2026-08-02","passed","2026-08-02","","UI\ParallelAndSequence.spec.js","",""
"","5283","childWindow and split","firefox","2026-08-02","passed","2026-08-02","","UI\LoginPractice.spec.js","",""
"","7891","Login practice","firefox","2026-08-02","passed","2026-08-02","","UI\ParallelAndSequence.spec.js","",""
"","2618","Browser configure Playwright test","firefox","2026-08-02","passed","2026-08-02","","UI\UIBasicsTest.spec.js","",""
"","13242","ECommerce","firefox","2026-08-02","passed","2026-08-02","","API\AbortAPICalls.spec.js","",""
"","7210","UI Ddn Rdo","firefox","2026-08-02","passed","2026-08-02","","UI\LoginPractice.spec.js","",""
"","40638","Login for ADIDAS ORIGINAL","firefox","2026-08-02","broken","2026-08-02","","UI\ECommerecePOM.spec.js","",""
"","20574","ECommerce","firefox","2026-08-02","passed","2026-08-02","","UI\ECommerece.spec.js","",""
"","1","blinking","firefox","2026-08-02","skipped","2026-08-02","","UI\ParallelAndSequence.spec.js","",""
"","3041","special locators","firefox","2026-08-02","passed","2026-08-02","","UI\EComSplLocators.spec.js","",""
"","2361","First Playwright test","firefox","2026-08-02","passed","2026-08-02","","UI\UIBasicsTest.spec.js","",""
